time,station,temperature,wind_dir,wind_speed,wind_impact,clouds,weather
Aktuálny stav počasia - 22.09.2021 - 17:00 LSEČ,Bratislava - Mlynská Dolina,12.6 °C,Z,1 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 17:00 LSEČ,Bratislava Ivanka,13.7 °C,SZ,5 m/s,,Oblačno,Po prehánke
Aktuálny stav počasia - 22.09.2021 - 17:00 LSEČ,Bratislava Koliba,12.1 °C,S,3 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 17:00 LSEČ,Bratislava - Mlynská Dolina,12.6 °C,Z,1 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 17:00 LSEČ,Bratislava Ivanka,13.7 °C,SZ,5 m/s,,Oblačno,Po prehánke
Aktuálny stav počasia - 22.09.2021 - 17:00 LSEČ,Bratislava Koliba,12.1 °C,S,3 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 18:00 LSEČ,Bratislava - Mlynská Dolina,11.9 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 18:00 LSEČ,Bratislava Ivanka,13.5 °C,SZ,4 m/s,,Oblačno,
Aktuálny stav počasia - 22.09.2021 - 18:00 LSEČ,Bratislava Koliba,11.3 °C,SZ,2 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 18:00 LSEČ,Bratislava - Mlynská Dolina,11.9 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 18:00 LSEČ,Bratislava Ivanka,13.5 °C,SZ,4 m/s,,Oblačno,
Aktuálny stav počasia - 22.09.2021 - 18:00 LSEČ,Bratislava Koliba,11.3 °C,SZ,2 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 19:00 LSEČ,Bratislava - Mlynská Dolina,10.9 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 19:00 LSEČ,Bratislava Ivanka,11.9 °C,Z,4 m/s,,Polooblačno,
Aktuálny stav počasia - 22.09.2021 - 19:00 LSEČ,Bratislava Koliba,10.4 °C,PREM,2 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 19:00 LSEČ,Bratislava - Mlynská Dolina,10.9 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 19:00 LSEČ,Bratislava Ivanka,11.9 °C,Z,4 m/s,,Polooblačno,
Aktuálny stav počasia - 22.09.2021 - 19:00 LSEČ,Bratislava Koliba,10.4 °C,PREM,2 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 20:00 LSEČ,Bratislava - Mlynská Dolina,10.8 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 20:00 LSEČ,Bratislava Ivanka,11.9 °C,SZ,4 m/s,,Oblačno,
Aktuálny stav počasia - 22.09.2021 - 20:00 LSEČ,Bratislava Koliba,10.5 °C,SZ,2 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 20:00 LSEČ,Bratislava - Mlynská Dolina,10.8 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 20:00 LSEČ,Bratislava Ivanka,11.9 °C,SZ,4 m/s,,Oblačno,
Aktuálny stav počasia - 22.09.2021 - 20:00 LSEČ,Bratislava Koliba,10.5 °C,SZ,2 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 21:00 LSEČ,Bratislava - Mlynská Dolina,10.7 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 21:00 LSEČ,Bratislava Ivanka,11.6 °C,SZ,4 m/s,,Malá oblačnosť,
Aktuálny stav počasia - 22.09.2021 - 21:00 LSEČ,Bratislava Koliba,10.2 °C,SZ,3 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 21:00 LSEČ,Bratislava - Mlynská Dolina,10.7 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 21:00 LSEČ,Bratislava Ivanka,11.6 °C,SZ,4 m/s,,Malá oblačnosť,
Aktuálny stav počasia - 22.09.2021 - 21:00 LSEČ,Bratislava Koliba,10.2 °C,SZ,3 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 22:00 LSEČ,Bratislava - Mlynská Dolina,10.5 °C,S,1 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 22:00 LSEČ,Bratislava Ivanka,11.8 °C,SZ,4 m/s,,Oblačno,
Aktuálny stav počasia - 22.09.2021 - 22:00 LSEČ,Bratislava Koliba,10.5 °C,SZ,2 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 22:00 LSEČ,Bratislava - Mlynská Dolina,10.5 °C,S,1 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 22:00 LSEČ,Bratislava Ivanka,11.8 °C,SZ,4 m/s,,Oblačno,
Aktuálny stav počasia - 22.09.2021 - 22:00 LSEČ,Bratislava Koliba,10.5 °C,SZ,2 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 23:00 LSEČ,Bratislava - Mlynská Dolina,10.6 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 23:00 LSEČ,Bratislava Ivanka,11.7 °C,SZ,4 m/s,,Oblačno,
Aktuálny stav počasia - 22.09.2021 - 23:00 LSEČ,Bratislava Koliba,10.5 °C,SZ,2 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 23:00 LSEČ,Bratislava - Mlynská Dolina,10.6 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 22.09.2021 - 23:00 LSEČ,Bratislava Ivanka,11.7 °C,SZ,4 m/s,,Oblačno,
Aktuálny stav počasia - 22.09.2021 - 23:00 LSEČ,Bratislava Koliba,10.5 °C,SZ,2 m/s,,,
Aktuálny stav počasia - 23.09.2021 - 00:00 LSEČ,Bratislava - Mlynská Dolina,10.6 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 23.09.2021 - 00:00 LSEČ,Bratislava Ivanka,11.9 °C,PREM,2 m/s,,Takmer zamračené,
Aktuálny stav počasia - 23.09.2021 - 00:00 LSEČ,Bratislava Koliba,10.6 °C,SZ,3 m/s,,,
Aktuálny stav počasia - 23.09.2021 - 00:00 LSEČ,Bratislava - Mlynská Dolina,10.6 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 23.09.2021 - 00:00 LSEČ,Bratislava Ivanka,11.9 °C,PREM,2 m/s,,Takmer zamračené,
Aktuálny stav počasia - 23.09.2021 - 00:00 LSEČ,Bratislava Koliba,10.6 °C,SZ,3 m/s,,,
Aktuálny stav počasia - 23.09.2021 - 01:00 LSEČ,Bratislava - Mlynská Dolina,10.7 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 23.09.2021 - 01:00 LSEČ,Bratislava Ivanka,11.5 °C,PREM,2 m/s,,Takmer zamračené,
Aktuálny stav počasia - 23.09.2021 - 01:00 LSEČ,Bratislava Koliba,10.5 °C,Z,2 m/s,,,
Aktuálny stav počasia - 23.09.2021 - 01:00 LSEČ,Bratislava - Mlynská Dolina,10.7 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 23.09.2021 - 01:00 LSEČ,Bratislava Ivanka,11.5 °C,PREM,2 m/s,,Takmer zamračené,
Aktuálny stav počasia - 23.09.2021 - 01:00 LSEČ,Bratislava Koliba,10.5 °C,Z,2 m/s,,,
Aktuálny stav počasia - 23.09.2021 - 02:00 LSEČ,Bratislava - Mlynská Dolina,10.7 °C,BEZV,0 m/s,,,
Aktuálny stav počasia - 23.09.2021 - 02:00 LSEČ,Bratislava Ivanka,11.8 °C,Z,2 m/s,,Takmer zamračené,
